lr_believes_exaggeration,word,magnitude
False,June,0.0137
False,these,0.013
True,real,0.1633
True,warming,0.0724
True,__,0.0601
True,about,0.052
True,expert,0.0465
True,terrifying,0.0453
True,Earth,0.042
True,he,0.0388
True,not,0.0346
True,skeptic,0.1124
True,science,0.0742
True,not,0.0543
True,Weather,0.0512
True,calling,0.0403
True,founder,0.0341
True,scientist,0.0254
True,scientists,0.0648
True,real,0.042
True,true,0.0402
True,money,0.0343
True,it,0.0342
True,NASA,0.0305
True,warming,0.0243
False,banks,0.0314
False,best,0.0266
False,40,0.0095
False,bill,0.0176
False,energy,0.016
False,reduction,0.0106
False,pelosi,0.0103
False,2019,0.0079
False,select,0.0043
False,energy,0.0175
False,clean,0.0161
False,bipartisan,0.0127
False,leadership,0.0062
False,we,0.0058
False,bills,0.005
False,texas,0.0084
False,and,0.0066
False,congresswoman,0.0058
False,more,0.0046
False,florida,0.004
False,energy,0.0202
False,champion,0.0162
False,states,0.0101
False,illinois,0.0099
False,champions,0.0082
False,bill,0.0078
False,chart,0.0063
False,midterms,0.0477
False,senate,0.0253
False,congress,0.0223
False,thank,0.017
False,celebration,0.0146
False,my,0.0119
False,bill,0.0373
False,proud,0.0105
False,bill,0.0209
False,energy,0.0138
False,reduction,0.011
False,congress,0.01
False,oil,0.0076
False,celebrating,0.0246
False,excited,0.0151
False,select,0.0146
False,bill,0.0311
False,legislation,0.0246
False,congress,0.0169
False,enacted,0.0119
False,committee,0.0414
False,our,0.0234
False,electric,0.0223
False,and,0.022
False,tax,0.0173
False,single,0.0153
False,october,0.0144
False,fuel,0.0136
False,tax,0.0532
False,bill,0.0411
False,hydrogen,0.0267
False,is,0.0199
False,blumenour,0.0034
False,bill,0.0268
False,reduction,0.011
False,legislation,0.0104
False,union,0.0095
False,at,0.0092
False,america,0.0081
False,was,0.0029
False,legislation,0.0186
False,electric,0.0177
False,tax,0.0106
False,refueling,0.0104
False,going,0.0092
False,reduce,0.0083
False,michigan,0.0072
False,american,0.0242
False,america,0.0213
False,subcommittee,0.02
False,celebrating,0.019
False,electricians,0.0149
False,energy,0.0112
False,i,0.0101
False,florida,0.0086
False,energy,0.0344
False,democrats,0.0134
False,same,0.0128
False,clean,0.0088
False,greatest,0.0027
False,bill,0.024
False,bipartisan,0.0157
False,and,0.013
False,will,0.0107
False,our,0.0099
False,better,0.0084
False,reduction,0.0052
False,victory,0.0659
False,reduction,0.0403
False,celebrate,0.0309
False,courage,0.0261
False,act,0.0253
False,nation,0.0202
